Day,Severly Stunted,Moderately Stunted min,Moderately Stunted max,Normal,Gender
0,43.56,43.56,45.422,45.422,Girl
1,43.72,43.72,45.585,45.585,Girl
2,43.88,43.88,45.748,45.748,Girl
3,44.038,44.038,45.91,45.91,Girl
4,44.199,44.199,46.074,46.074,Girl
5,44.359,44.359,46.237,46.237,Girl
6,44.519,44.519,46.4,46.4,Girl
7,44.68,44.68,46.563,46.563,Girl
8,44.84,44.84,46.726,46.726,Girl
9,45.001,45.001,46.89,46.89,Girl
10,45.16,45.16,47.052,47.052,Girl
11,45.321,45.321,47.216,47.216,Girl
12,45.482,45.482,47.379,47.379,Girl
13,45.642,45.642,47.543,47.543,Girl
14,45.803,45.803,47.706,47.706,Girl
15,45.933,45.933,47.839,47.839,Girl
16,46.061,46.061,47.971,47.971,Girl
17,46.19,46.19,48.102,48.102,Girl
18,46.316,46.316,48.232,48.232,Girl
19,46.444,46.444,48.362,48.362,Girl
20,46.568,46.568,48.491,48.491,Girl
21,46.694,46.694,48.619,48.619,Girl
22,46.817,46.817,48.746,48.746,Girl
23,46.94,46.94,48.872,48.872,Girl
24,47.061,47.061,48.996,48.996,Girl
25,47.184,47.184,49.121,49.121,Girl
26,47.303,47.303,49.244,49.244,Girl
27,47.422,47.422,49.366,49.366,Girl
28,47.54,47.54,49.487,49.487,Girl
29,47.658,47.658,49.608,49.608,Girl
30,47.774,47.774,49.727,49.727,Girl
31,47.89,47.89,49.846,49.846,Girl
32,48.003,48.003,49.962,49.962,Girl
33,48.117,48.117,50.079,50.079,Girl
34,48.231,48.231,50.195,50.195,Girl
35,48.343,48.343,50.31,50.31,Girl
36,48.453,48.453,50.424,50.424,Girl
37,48.564,48.564,50.537,50.537,Girl
38,48.674,48.674,50.65,50.65,Girl
39,48.781,48.781,50.76,50.76,Girl
40,48.89,48.89,50.871,50.871,Girl
41,48.996,48.996,50.98,50.98,Girl
42,49.102,49.102,51.09,51.09,Girl
43,49.207,49.207,51.197,51.197,Girl
