Gender,Day,Severly Stunted,Moderately Stunted min,Moderately Stunted max,Normal Height,Severly Underweight,Moderately Underweight min,Moderately Underweight max,Normal Weight
Girl,0,43.56,43.56,45.422,45.422,2.033,2.033,2.395,2.395
Girl,1,43.72,43.72,45.585,45.585,1.994,1.994,2.352,2.352
Girl,2,43.88,43.88,45.748,45.748,2.002,2.002,2.362,2.362
Girl,3,44.038,44.038,45.91,45.91,2.017,2.017,2.378,2.378
Girl,4,44.199,44.199,46.074,46.074,2.034,2.034,2.397,2.397
Girl,5,44.359,44.359,46.237,46.237,2.053,2.053,2.418,2.418
Girl,6,44.519,44.519,46.4,46.4,2.074,2.074,2.44,2.44
Girl,7,44.68,44.68,46.563,46.563,2.096,2.096,2.464,2.464
Girl,8,44.84,44.84,46.726,46.726,2.118,2.118,2.488,2.488
Girl,9,45.001,45.001,46.89,46.89,2.141,2.141,2.513,2.513
Girl,10,45.16,45.16,47.052,47.052,2.165,2.165,2.54,2.54
Girl,11,45.321,45.321,47.216,47.216,2.19,2.19,2.567,2.567
Girl,12,45.482,45.482,47.379,47.379,2.216,2.216,2.595,2.595
Girl,13,45.642,45.642,47.543,47.543,2.242,2.242,2.623,2.623
Girl,14,45.803,45.803,47.706,47.706,2.269,2.269,2.653,2.653
Girl,15,45.933,45.933,47.839,47.839,2.297,2.297,2.683,2.683
Girl,16,46.061,46.061,47.971,47.971,2.325,2.325,2.714,2.714
Girl,17,46.19,46.19,48.102,48.102,2.353,2.353,2.745,2.745
Girl,18,46.316,46.316,48.232,48.232,2.382,2.382,2.777,2.777
Girl,19,46.444,46.444,48.362,48.362,2.41,2.41,2.808,2.808
Girl,20,46.568,46.568,48.491,48.491,2.439,2.439,2.84,2.84
Girl,21,46.694,46.694,48.619,48.619,2.468,2.468,2.871,2.871
Girl,22,46.817,46.817,48.746,48.746,2.496,2.496,2.903,2.903
Girl,23,46.94,46.94,48.872,48.872,2.525,2.525,2.934,2.934
Girl,24,47.061,47.061,48.996,48.996,2.553,2.553,2.965,2.965
Girl,25,47.184,47.184,49.121,49.121,2.582,2.582,2.996,2.996
Girl,26,47.303,47.303,49.244,49.244,2.61,2.61,3.027,3.027
Girl,27,47.422,47.422,49.366,49.366,2.638,2.638,3.058,3.058
Girl,28,47.54,47.54,49.487,49.487,2.665,2.665,3.088,3.088
Girl,29,47.658,47.658,49.608,49.608,2.693,2.693,3.118,3.118
Girl,30,47.774,47.774,49.727,49.727,2.72,2.72,3.148,3.148
Girl,31,47.89,47.89,49.846,49.846,2.747,2.747,3.178,3.178
Girl,32,48.003,48.003,49.962,49.962,2.774,2.774,3.207,3.207
Girl,33,48.117,48.117,50.079,50.079,2.801,2.801,3.236,3.236
Girl,34,48.231,48.231,50.195,50.195,2.827,2.827,3.265,3.265
Girl,35,48.343,48.343,50.31,50.31,2.853,2.853,3.294,3.294
Girl,36,48.453,48.453,50.424,50.424,2.879,2.879,3.322,3.322
Girl,37,48.564,48.564,50.537,50.537,2.904,2.904,3.35,3.35
Girl,38,48.674,48.674,50.65,50.65,2.93,2.93,3.377,3.377
Girl,39,48.781,48.781,50.76,50.76,2.955,2.955,3.405,3.405
Girl,40,48.89,48.89,50.871,50.871,2.98,2.98,3.432,3.432
Girl,41,48.996,48.996,50.98,50.98,3.004,3.004,3.459,3.459
Girl,42,49.102,49.102,51.09,51.09,3.029,3.029,3.485,3.485
Girl,43,49.207,49.207,51.197,51.197,3.053,3.053,3.512,3.512
Girl,44,49.312,49.312,51.305,51.305,3.077,3.077,3.538,3.538
Girl,45,49.415,49.415,51.411,51.411,3.1,3.1,3.564,3.564
Girl,46,49.518,49.518,51.516,51.516,3.124,3.124,3.589,3.589
Girl,47,49.621,49.621,51.621,51.621,3.147,3.147,3.614,3.614
Girl,48,49.721,49.721,51.725,51.725,3.17,3.17,3.639,3.639
Girl,49,49.822,49.822,51.828,51.828,3.192,3.192,3.664,3.664
Girl,50,49.921,49.921,51.93,51.93,3.215,3.215,3.689,3.689
Girl,51,50.021,50.021,52.032,52.032,3.237,3.237,3.713,3.713
Girl,52,50.119,50.119,52.133,52.133,3.259,3.259,3.737,3.737
Girl,53,50.216,50.216,52.233,52.233,3.281,3.281,3.761,3.761
Girl,54,50.313,50.313,52.332,52.332,3.303,3.303,3.785,3.785
Girl,55,50.409,50.409,52.43,52.43,3.324,3.324,3.808,3.808
Girl,56,50.504,50.504,52.528,52.528,3.345,3.345,3.831,3.831
Girl,57,50.598,50.598,52.625,52.625,3.366,3.366,3.854,3.854
Girl,58,50.692,50.692,52.721,52.721,3.387,3.387,3.877,3.877
Girl,59,50.785,50.785,52.817,52.817,3.408,3.408,3.899,3.899
Girl,60,50.878,50.878,52.912,52.912,3.428,3.428,3.922,3.922
Girl,61,50.97,50.97,53.006,53.006,3.449,3.449,3.944,3.944
Girl,62,51.061,51.061,53.1,53.1,3.469,3.469,3.966,3.966
Girl,63,51.152,51.152,53.193,53.193,3.489,3.489,3.987,3.987
Girl,64,51.242,51.242,53.286,53.286,3.508,3.508,4.009,4.009
Girl,65,51.33,51.33,53.377,53.377,3.528,3.528,4.031,4.031
Girl,66,51.42,51.42,53.468,53.468,3.548,3.548,4.052,4.052
Girl,67,51.508,51.508,53.559,53.559,3.567,3.567,4.073,4.073
Girl,68,51.596,51.596,53.65,53.65,3.586,3.586,4.094,4.094
Girl,69,51.684,51.684,53.739,53.739,3.605,3.605,4.114,4.114
Girl,70,51.769,51.769,53.827,53.827,3.624,3.624,4.135,4.135
Girl,71,51.856,51.856,53.916,53.916,3.643,3.643,4.155,4.155
Girl,72,51.942,51.942,54.004,54.004,3.661,3.661,4.175,4.175
Girl,73,52.025,52.025,54.09,54.09,3.679,3.679,4.195,4.195
Girl,74,52.11,52.11,54.177,54.177,3.698,3.698,4.215,4.215
Girl,75,52.195,52.195,54.264,54.264,3.716,3.716,4.235,4.235
Girl,76,52.277,52.277,54.349,54.349,3.734,3.734,4.255,4.255
Girl,77,52.36,52.36,54.434,54.434,3.752,3.752,4.274,4.274
Girl,78,52.441,52.441,54.518,54.518,3.769,3.769,4.293,4.293
Girl,79,52.524,52.524,54.602,54.602,3.787,3.787,4.312,4.312
Girl,80,52.604,52.604,54.685,54.685,3.804,3.804,4.331,4.331
Girl,81,52.686,52.686,54.768,54.768,3.821,3.821,4.35,4.35
Girl,82,52.765,52.765,54.85,54.85,3.838,3.838,4.369,4.369
Girl,83,52.845,52.845,54.932,54.932,3.855,3.855,4.387,4.387
Girl,84,52.924,52.924,55.013,55.013,3.872,3.872,4.406,4.406
Girl,85,53.003,53.003,55.095,55.095,3.889,3.889,4.424,4.424
Girl,86,53.081,53.081,55.175,55.175,3.905,3.905,4.442,4.442
Girl,87,53.158,53.158,55.254,55.254,3.922,3.922,4.46,4.46
Girl,88,53.236,53.236,55.334,55.334,3.938,3.938,4.478,4.478
Girl,89,53.312,53.312,55.412,55.412,3.955,3.955,4.496,4.496
Girl,90,53.39,53.39,55.491,55.491,3.971,3.971,4.513,4.513
Girl,91,53.465,53.465,55.569,55.569,3.987,3.987,4.531,4.531
Girl,92,53.54,53.54,55.646,55.646,4.003,4.003,4.548,4.548
Girl,93,53.616,53.616,55.724,55.724,4.018,4.018,4.565,4.565
Girl,94,53.69,53.69,55.8,55.8,4.034,4.034,4.582,4.582
Girl,95,53.763,53.763,55.876,55.876,4.05,4.05,4.599,4.599
Girl,96,53.837,53.837,55.951,55.951,4.065,4.065,4.616,4.616
Girl,97,53.911,53.911,56.028,56.028,4.081,4.081,4.633,4.633
Girl,98,53.984,53.984,56.102,56.102,4.096,4.096,4.65,4.65
Girl,99,54.056,54.056,56.176,56.176,4.111,4.111,4.666,4.666
Girl,100,54.127,54.127,56.25,56.25,4.126,4.126,4.683,4.683
Girl,101,54.199,54.199,56.324,56.324,4.141,4.141,4.699,4.699
Girl,102,54.271,54.271,56.398,56.398,4.156,4.156,4.715,4.715
Girl,103,54.342,54.342,56.47,56.47,4.171,4.171,4.731,4.731
Girl,104,54.412,54.412,56.542,56.542,4.185,4.185,4.747,4.747
Girl,105,54.482,54.482,56.614,56.614,4.2,4.2,4.763,4.763
Girl,106,54.551,54.551,56.686,56.686,4.214,4.214,4.779,4.779
Girl,107,54.62,54.62,56.757,56.757,4.229,4.229,4.794,4.794
Girl,108,54.689,54.689,56.827,56.827,4.243,4.243,4.81,4.81
Girl,109,54.757,54.757,56.898,56.898,4.257,4.257,4.825,4.825
Girl,110,54.827,54.827,56.969,56.969,4.271,4.271,4.841,4.841
Girl,111,54.894,54.894,57.038,57.038,4.285,4.285,4.856,4.856
Girl,112,54.961,54.961,57.107,57.107,4.299,4.299,4.871,4.871
Girl,113,55.028,55.028,57.176,57.176,4.313,4.313,4.886,4.886
Girl,114,55.095,55.095,57.244,57.244,4.326,4.326,4.901,4.901
Girl,115,55.161,55.161,57.312,57.312,4.34,4.34,4.916,4.916
Girl,116,55.227,55.227,57.38,57.38,4.353,4.353,4.93,4.93
Girl,117,55.292,55.292,57.447,57.447,4.367,4.367,4.945,4.945
Girl,118,55.357,55.357,57.514,57.514,4.38,4.38,4.96,4.96
Girl,119,55.422,55.422,57.581,57.581,4.394,4.394,4.974,4.974
Girl,120,55.486,55.486,57.647,57.647,4.407,4.407,4.988,4.988
Girl,121,55.548,55.548,57.712,57.712,4.42,4.42,5.003,5.003
Girl,122,55.612,55.612,57.777,57.777,4.433,4.433,5.017,5.017
Girl,123,55.675,55.675,57.842,57.842,4.446,4.446,5.031,5.031
Girl,124,55.738,55.738,57.907,57.907,4.458,4.458,5.045,5.045
Girl,125,55.801,55.801,57.971,57.971,4.471,4.471,5.059,5.059
Girl,126,55.863,55.863,58.035,58.035,4.484,4.484,5.073,5.073
Girl,127,55.925,55.925,58.099,58.099,4.496,4.496,5.086,5.086
Girl,128,55.987,55.987,58.163,58.163,4.509,4.509,5.1,5.1
Girl,129,56.049,56.049,58.226,58.226,4.521,4.521,5.113,5.113
Girl,130,56.108,56.108,58.287,58.287,4.534,4.534,5.127,5.127
Girl,131,56.168,56.168,58.35,58.35,4.546,4.546,5.14,5.14
Girl,132,56.229,56.229,58.412,58.412,4.558,4.558,5.154,5.154
Girl,133,56.289,56.289,58.474,58.474,4.57,4.57,5.167,5.167
Girl,134,56.349,56.349,58.535,58.535,4.582,4.582,5.18,5.18
Girl,135,56.407,56.407,58.595,58.595,4.594,4.594,5.193,5.193
Girl,136,56.466,56.466,58.656,58.656,4.606,4.606,5.206,5.206
Girl,137,56.525,56.525,58.716,58.716,4.618,4.618,5.219,5.219
Girl,138,56.584,56.584,58.777,58.777,4.629,4.629,5.231,5.231
Girl,139,56.642,56.642,58.837,58.837,4.641,4.641,5.244,5.244
Girl,140,56.698,56.698,58.895,58.895,4.652,4.652,5.257,5.257
Girl,141,56.756,56.756,58.954,58.954,4.664,4.664,5.269,5.269
Girl,142,56.814,56.814,59.013,59.013,4.675,4.675,5.282,5.282
Girl,143,56.869,56.869,59.071,59.071,4.687,4.687,5.294,5.294
Girl,144,56.926,56.926,59.13,59.13,4.698,4.698,5.306,5.306
Girl,145,56.983,56.983,59.188,59.188,4.709,4.709,5.318,5.318
Girl,146,57.038,57.038,59.245,59.245,4.72,4.72,5.331,5.331
Girl,147,57.094,57.094,59.303,59.303,4.731,4.731,5.343,5.343
Girl,148,57.15,57.15,59.36,59.36,4.742,4.742,5.355,5.355
Girl,149,57.204,57.204,59.416,59.416,4.753,4.753,5.366,5.366
Girl,150,57.26,57.26,59.473,59.473,4.764,4.764,5.378,5.378
Girl,151,57.315,57.315,59.53,59.53,4.775,4.775,5.39,5.39
Girl,152,57.368,57.368,59.585,59.585,4.785,4.785,5.402,5.402
Girl,153,57.423,57.423,59.641,59.641,4.796,4.796,5.413,5.413
Girl,154,57.478,57.478,59.697,59.697,4.807,4.807,5.425,5.425
Girl,155,57.53,57.53,59.752,59.752,4.817,4.817,5.436,5.436
Girl,156,57.584,57.584,59.808,59.808,4.828,4.828,5.448,5.448
Girl,157,57.636,57.636,59.862,59.862,4.838,4.838,5.459,5.459
Girl,158,57.69,57.69,59.917,59.917,4.848,4.848,5.47,5.47
Girl,159,57.742,57.742,59.97,59.97,4.859,4.859,5.482,5.482
Girl,160,57.795,57.795,60.025,60.025,4.869,4.869,5.493,5.493
Girl,161,57.849,57.849,60.08,60.08,4.879,4.879,5.504,5.504
Girl,162,57.9,57.9,60.133,60.133,4.889,4.889,5.515,5.515
