Gender,Years,Height,SAM min,MAM min,MAM max,Normal min,Normal max,Overweight min,Overweight min,Obese,
Girl,0-2,45.00,1.90,1.90,2.07,2.07,2.97,2.97,3.28,3.28,
Girl,0-2,45.10,1.92,1.92,2.08,2.08,2.99,2.99,3.30,3.30,
Girl,0-2,45.20,1.93,1.93,2.10,2.10,3.01,3.01,3.32,3.32,
Girl,0-2,45.30,1.94,1.94,2.11,2.11,3.03,3.03,3.34,3.34,
Girl,0-2,45.40,1.95,1.95,2.12,2.12,3.05,3.05,3.37,3.37,
Girl,0-2,45.50,1.97,1.97,2.14,2.14,3.07,3.07,3.39,3.39,
Girl,0-2,45.60,1.98,1.98,2.15,2.15,3.09,3.09,3.41,3.41,
Girl,0-2,45.70,1.99,1.99,2.17,2.17,3.11,3.11,3.43,3.43,
Girl,0-2,45.80,2.01,2.01,2.18,2.18,3.13,3.13,3.46,3.46,
Girl,0-2,45.90,2.02,2.02,2.20,2.20,3.15,3.15,3.48,3.48,
Girl,0-2,46.00,2.03,2.03,2.21,2.21,3.17,3.17,3.50,3.50,
Girl,0-2,46.10,2.05,2.05,2.22,2.22,3.19,3.19,3.53,3.53,
Girl,0-2,46.20,2.06,2.06,2.24,2.24,3.21,3.21,3.55,3.55,
Girl,0-2,46.30,2.07,2.07,2.25,2.25,3.23,3.23,3.57,3.57,
Girl,0-2,46.40,2.09,2.09,2.27,2.27,3.26,3.26,3.59,3.59,
Girl,0-2,46.50,2.10,2.10,2.28,2.28,3.28,3.28,3.62,3.62,
Girl,0-2,46.60,2.11,2.11,2.29,2.29,3.30,3.30,3.64,3.64,
Girl,0-2,46.70,2.12,2.12,2.31,2.31,3.32,3.32,3.66,3.66,
Girl,0-2,46.80,2.14,2.14,2.32,2.32,3.34,3.34,3.68,3.68,
Girl,0-2,46.90,2.15,2.15,2.34,2.34,3.36,3.36,3.71,3.71,
Girl,0-2,47.00,2.16,2.16,2.35,2.35,3.38,3.38,3.73,3.73,
Girl,0-2,47.10,2.18,2.18,2.37,2.37,3.40,3.40,3.75,3.75,
Girl,0-2,47.20,2.19,2.19,2.38,2.38,3.42,3.42,3.78,3.78,
Girl,0-2,47.30,2.20,2.20,2.39,2.39,3.44,3.44,3.80,3.80,
Girl,0-2,47.40,2.22,2.22,2.41,2.41,3.46,3.46,3.82,3.82,
Girl,0-2,47.50,2.23,2.23,2.42,2.42,3.48,3.48,3.85,3.85,
Girl,0-2,47.60,2.24,2.24,2.44,2.44,3.50,3.50,3.87,3.87,
Girl,0-2,47.70,2.26,2.26,2.45,2.45,3.52,3.52,3.89,3.89,
Girl,0-2,47.80,2.27,2.27,2.47,2.47,3.55,3.55,3.92,3.92,
Girl,0-2,47.90,2.28,2.28,2.48,2.48,3.57,3.57,3.94,3.94,
Girl,0-2,48.00,2.30,2.30,2.50,2.50,3.59,3.59,3.96,3.96,
Girl,0-2,48.10,2.31,2.31,2.51,2.51,3.61,3.61,3.99,3.99,
Girl,0-2,48.20,2.32,2.32,2.53,2.53,3.63,3.63,4.01,4.01,
Girl,0-2,48.30,2.34,2.34,2.54,2.54,3.65,3.65,4.03,4.03,
Girl,0-2,48.40,2.35,2.35,2.56,2.56,3.67,3.67,4.06,4.06,
Girl,0-2,48.50,2.37,2.37,2.57,2.57,3.70,3.70,4.08,4.08,
Girl,0-2,48.60,2.38,2.38,2.59,2.59,3.72,3.72,4.11,4.11,
Girl,0-2,48.70,2.39,2.39,2.60,2.60,3.74,3.74,4.13,4.13,
Girl,0-2,48.80,2.41,2.41,2.62,2.62,3.76,3.76,4.16,4.16,
Girl,0-2,48.90,2.42,2.42,2.63,2.63,3.79,3.79,4.18,4.18,
Girl,0-2,49.00,2.44,2.44,2.65,2.65,3.81,3.81,4.21,4.21,
Girl,0-2,49.10,2.45,2.45,2.67,2.67,3.83,3.83,4.23,4.23,
Girl,0-2,49.20,2.47,2.47,2.68,2.68,3.85,3.85,4.26,4.26,
Girl,0-2,49.30,2.48,2.48,2.70,2.70,3.88,3.88,4.28,4.28,
Girl,0-2,49.40,2.50,2.50,2.71,2.71,3.90,3.90,4.31,4.31,
Girl,0-2,49.50,2.51,2.51,2.73,2.73,3.92,3.92,4.33,4.33,
Girl,0-2,49.60,2.53,2.53,2.75,2.75,3.95,3.95,4.36,4.36,
Girl,0-2,49.70,2.54,2.54,2.76,2.76,3.97,3.97,4.39,4.39,
Girl,0-2,49.80,2.56,2.56,2.78,2.78,4.00,4.00,4.41,4.41,
Girl,0-2,49.90,2.57,2.57,2.80,2.80,4.02,4.02,4.44,4.44,
Girl,0-2,50.00,2.59,2.59,2.81,2.81,4.05,4.05,4.47,4.47,
Girl,0-2,50.10,2.60,2.60,2.83,2.83,4.07,4.07,4.50,4.50,
Girl,0-2,50.20,2.62,2.62,2.85,2.85,4.10,4.10,4.52,4.52,
Girl,0-2,50.30,2.64,2.64,2.87,2.87,4.12,4.12,4.55,4.55,
Girl,0-2,50.40,2.65,2.65,2.88,2.88,4.15,4.15,4.58,4.58,
Girl,0-2,50.50,2.67,2.67,2.90,2.90,4.17,4.17,4.61,4.61,
Girl,0-2,50.60,2.68,2.68,2.92,2.92,4.20,4.20,4.64,4.64,
Girl,0-2,50.70,2.70,2.70,2.94,2.94,4.22,4.22,4.66,4.66,
Girl,0-2,50.80,2.72,2.72,2.95,2.95,4.25,4.25,4.69,4.69,
Girl,0-2,50.90,2.73,2.73,2.97,2.97,4.28,4.28,4.72,4.72,
Girl,0-2,51.00,2.75,2.75,2.99,2.99,4.30,4.30,4.75,4.75,
Girl,0-2,51.10,2.77,2.77,3.01,3.01,4.33,4.33,4.78,4.78,
Girl,0-2,51.20,2.78,2.78,3.03,3.03,4.36,4.36,4.81,4.81,
Girl,0-2,51.30,2.80,2.80,3.05,3.05,4.38,4.38,4.84,4.84,
Girl,0-2,51.40,2.82,2.82,3.07,3.07,4.41,4.41,4.87,4.87,
Girl,0-2,51.50,2.84,2.84,3.08,3.08,4.44,4.44,4.90,4.90,
Girl,0-2,51.60,2.85,2.85,3.10,3.10,4.46,4.46,4.93,4.93,
Girl,0-2,51.70,2.87,2.87,3.12,3.12,4.49,4.49,4.96,4.96,
Girl,0-2,51.80,2.89,2.89,3.14,3.14,4.52,4.52,4.99,4.99,
Girl,0-2,51.90,2.91,2.91,3.16,3.16,4.55,4.55,5.02,5.02,
Girl,0-2,52.00,2.93,2.93,3.18,3.18,4.58,4.58,5.06,5.06,
Girl,0-2,52.10,2.94,2.94,3.20,3.20,4.61,4.61,5.09,5.09,
Girl,0-2,52.20,2.96,2.96,3.22,3.22,4.63,4.63,5.12,5.12,
Girl,0-2,52.30,2.98,2.98,3.24,3.24,4.66,4.66,5.15,5.15,
Girl,0-2,52.40,3.00,3.00,3.26,3.26,4.69,4.69,5.18,5.18,
Girl,0-2,52.50,3.02,3.02,3.28,3.28,4.72,4.72,5.22,5.22,
Girl,0-2,52.60,3.04,3.04,3.30,3.30,4.75,4.75,5.25,5.25,
Girl,0-2,52.70,3.06,3.06,3.32,3.32,4.78,4.78,5.28,5.28,
Girl,0-2,52.80,3.07,3.07,3.34,3.34,4.81,4.81,5.31,5.31,
Girl,0-2,52.90,3.09,3.09,3.36,3.36,4.84,4.84,5.35,5.35,
Girl,0-2,53.00,3.11,3.11,3.38,3.38,4.87,4.87,5.38,5.38,
Girl,0-2,53.10,3.13,3.13,3.40,3.40,4.90,4.90,5.41,5.41,
Girl,0-2,53.20,3.15,3.15,3.43,3.43,4.93,4.93,5.45,5.45,
Girl,0-2,53.30,3.17,3.17,3.45,3.45,4.96,4.96,5.48,5.48,
Girl,0-2,53.40,3.19,3.19,3.47,3.47,4.99,4.99,5.52,5.52,
Girl,0-2,53.50,3.21,3.21,3.49,3.49,5.02,5.02,5.55,5.55,
Girl,0-2,53.60,3.23,3.23,3.51,3.51,5.05,5.05,5.58,5.58,
Girl,0-2,53.70,3.25,3.25,3.53,3.53,5.08,5.08,5.62,5.62,
Girl,0-2,53.80,3.27,3.27,3.55,3.55,5.12,5.12,5.65,5.65,
Girl,0-2,53.90,3.29,3.29,3.57,3.57,5.15,5.15,5.69,5.69,
Girl,0-2,54.00,3.31,3.31,3.60,3.60,5.18,5.18,5.72,5.72,
Girl,0-2,54.10,3.33,3.33,3.62,3.62,5.21,5.21,5.76,5.76,
Girl,0-2,54.20,3.35,3.35,3.64,3.64,5.24,5.24,5.79,5.79,
Girl,0-2,54.30,3.37,3.37,3.66,3.66,5.27,5.27,5.83,5.83,
Girl,0-2,54.40,3.39,3.39,3.68,3.68,5.30,5.30,5.86,5.86,
Girl,0-2,54.50,3.41,3.41,3.71,3.71,5.34,5.34,5.90,5.90,
Girl,0-2,54.60,3.43,3.43,3.73,3.73,5.37,5.37,5.93,5.93,
Girl,0-2,54.70,3.45,3.45,3.75,3.75,5.40,5.40,5.97,5.97,
Girl,0-2,54.80,3.47,3.47,3.77,3.77,5.43,5.43,6.00,6.00,
Girl,0-2,54.90,3.49,3.49,3.79,3.79,5.46,5.46,6.04,6.04,
Girl,0-2,55.00,3.51,3.51,3.82,3.82,5.50,5.50,6.07,6.07,
Girl,0-2,55.10,3.53,3.53,3.84,3.84,5.53,5.53,6.11,6.11,
Girl,0-2,55.20,3.55,3.55,3.86,3.86,5.56,5.56,6.14,6.14,
Girl,0-2,55.30,3.57,3.57,3.88,3.88,5.59,5.59,6.18,6.18,
Girl,0-2,55.40,3.59,3.59,3.90,3.90,5.62,5.62,6.22,6.22,
Girl,0-2,55.50,3.61,3.61,3.93,3.93,5.66,5.66,6.25,6.25,
Girl,0-2,55.60,3.63,3.63,3.95,3.95,5.69,5.69,6.29,6.29,
Girl,0-2,55.70,3.65,3.65,3.97,3.97,5.72,5.72,6.32,6.32,
Girl,0-2,55.80,3.67,3.67,3.99,3.99,5.75,5.75,6.36,6.36,
Girl,0-2,55.90,3.69,3.69,4.02,4.02,5.79,5.79,6.39,6.39,
Girl,0-2,56.00,3.71,3.71,4.04,4.04,5.82,5.82,6.43,6.43,
Girl,0-2,56.10,3.73,3.73,4.06,4.06,5.85,5.85,6.47,6.47,
Girl,0-2,56.20,3.75,3.75,4.08,4.08,5.88,5.88,6.50,6.50,
Girl,0-2,56.30,3.78,3.78,4.11,4.11,5.92,5.92,6.54,6.54,
Girl,0-2,56.40,3.80,3.80,4.13,4.13,5.95,5.95,6.57,6.57,
Girl,0-2,56.50,3.82,3.82,4.15,4.15,5.98,5.98,6.61,6.61,
Girl,0-2,56.60,3.84,3.84,4.17,4.17,6.01,6.01,6.65,6.65,
Girl,0-2,56.70,3.86,3.86,4.19,4.19,6.05,6.05,6.68,6.68,
Girl,0-2,56.80,3.88,3.88,4.22,4.22,6.08,6.08,6.72,6.72,
Girl,0-2,56.90,3.90,3.90,4.24,4.24,6.11,6.11,6.75,6.75,
Girl,0-2,57.00,3.92,3.92,4.26,4.26,6.14,6.14,6.79,6.79,
Girl,0-2,57.10,3.94,3.94,4.28,4.28,6.18,6.18,6.82,6.82,
Girl,0-2,57.20,3.96,3.96,4.31,4.31,6.21,6.21,6.86,6.86,
Girl,0-2,57.30,3.98,3.98,4.33,4.33,6.24,6.24,6.90,6.90,
Girl,0-2,57.40,4.00,4.00,4.35,4.35,6.27,6.27,6.93,6.93,
Girl,0-2,57.50,4.02,4.02,4.37,4.37,6.30,6.30,6.97,6.97,
Girl,0-2,57.60,4.04,4.04,4.40,4.40,6.34,6.34,7.00,7.00,
Girl,0-2,57.70,4.06,4.06,4.42,4.42,6.37,6.37,7.04,7.04,
Girl,0-2,57.80,4.08,4.08,4.44,4.44,6.40,6.40,7.08,7.08,
Girl,0-2,57.90,4.10,4.10,4.46,4.46,6.43,6.43,7.11,7.11,
Girl,0-2,58.00,4.12,4.12,4.49,4.49,6.47,6.47,7.15,7.15,
Girl,0-2,58.10,4.14,4.14,4.51,4.51,6.50,6.50,7.18,7.18,
Girl,0-2,58.20,4.17,4.17,4.53,4.53,6.53,6.53,7.22,7.22,
Girl,0-2,58.30,4.19,4.19,4.55,4.55,6.56,6.56,7.25,7.25,
Girl,0-2,58.40,4.21,4.21,4.57,4.57,6.59,6.59,7.29,7.29,
Girl,0-2,58.50,4.23,4.23,4.60,4.60,6.63,6.63,7.32,7.32,
Girl,0-2,58.60,4.25,4.25,4.62,4.62,6.66,6.66,7.36,7.36,
Girl,0-2,58.70,4.27,4.27,4.64,4.64,6.69,6.69,7.40,7.40,
Girl,0-2,58.80,4.29,4.29,4.66,4.66,6.72,6.72,7.43,7.43,
Girl,0-2,58.90,4.31,4.31,4.68,4.68,6.75,6.75,7.47,7.47,
Girl,0-2,59.00,4.33,4.33,4.71,4.71,6.79,6.79,7.50,7.50,
Girl,0-2,59.10,4.35,4.35,4.73,4.73,6.82,6.82,7.54,7.54,
Girl,0-2,59.20,4.37,4.37,4.75,4.75,6.85,6.85,7.57,7.57,
Girl,0-2,59.30,4.39,4.39,4.77,4.77,6.88,6.88,7.61,7.61,
Girl,0-2,59.40,4.41,4.41,4.79,4.79,6.91,6.91,7.64,7.64,
Girl,0-2,59.50,4.43,4.43,4.82,4.82,6.94,6.94,7.68,7.68,
Girl,0-2,59.60,4.45,4.45,4.84,4.84,6.98,6.98,7.71,7.71,
Girl,0-2,59.70,4.47,4.47,4.86,4.86,7.01,7.01,7.74,7.74,
Girl,0-2,59.80,4.49,4.49,4.88,4.88,7.04,7.04,7.78,7.78,
Girl,0-2,59.90,4.51,4.51,4.90,4.90,7.07,7.07,7.81,7.81,
Girl,0-2,60.00,4.53,4.53,4.92,4.92,7.10,7.10,7.85,7.85,
Girl,0-2,60.10,4.55,4.55,4.95,4.95,7.13,7.13,7.88,7.88,
Girl,0-2,60.20,4.57,4.57,4.97,4.97,7.16,7.16,7.92,7.92,
Girl,0-2,60.30,4.59,4.59,4.99,4.99,7.19,7.19,7.95,7.95,
Girl,0-2,60.40,4.61,4.61,5.01,5.01,7.22,7.22,7.98,7.98,
Girl,0-2,60.50,4.62,4.62,5.03,5.03,7.25,7.25,8.02,8.02,
Girl,0-2,60.60,4.64,4.64,5.05,5.05,7.28,7.28,8.05,8.05,
Girl,0-2,60.70,4.66,4.66,5.07,5.07,7.31,7.31,8.09,8.09,
Girl,0-2,60.80,4.68,4.68,5.09,5.09,7.34,7.34,8.12,8.12,
Girl,0-2,60.90,4.70,4.70,5.11,5.11,7.38,7.38,8.15,8.15,
Girl,0-2,61.00,4.72,4.72,5.14,5.14,7.41,7.41,8.19,8.19,
Girl,0-2,61.10,4.74,4.74,5.16,5.16,7.44,7.44,8.22,8.22,
Girl,0-2,61.20,4.76,4.76,5.18,5.18,7.47,7.47,8.25,8.25,
Girl,0-2,61.30,4.78,4.78,5.20,5.20,7.50,7.50,8.29,8.29,
Girl,0-2,61.40,4.80,4.80,5.22,5.22,7.53,7.53,8.32,8.32,
Girl,0-2,61.50,4.82,4.82,5.24,5.24,7.56,7.56,8.35,8.35,
Girl,0-2,61.60,4.84,4.84,5.26,5.26,7.59,7.59,8.38,8.38,
Girl,0-2,61.70,4.86,4.86,5.28,5.28,7.61,7.61,8.42,8.42,
Girl,0-2,61.80,4.87,4.87,5.30,5.30,7.64,7.64,8.45,8.45,
Girl,0-2,61.90,4.89,4.89,5.32,5.32,7.67,7.67,8.48,8.48,
Girl,0-2,62.00,4.91,4.91,5.34,5.34,7.70,7.70,8.51,8.51,
Girl,0-2,62.10,4.93,4.93,5.36,5.36,7.73,7.73,8.55,8.55,
Girl,0-2,62.20,4.95,4.95,5.38,5.38,7.76,7.76,8.58,8.58,
Girl,0-2,62.30,4.97,4.97,5.40,5.40,7.79,7.79,8.61,8.61,
Girl,0-2,62.40,4.99,4.99,5.42,5.42,7.82,7.82,8.64,8.64,
Girl,0-2,62.50,5.01,5.01,5.44,5.44,7.85,7.85,8.68,8.68,
Girl,0-2,62.60,5.02,5.02,5.46,5.46,7.88,7.88,8.71,8.71,
Girl,0-2,62.70,5.04,5.04,5.48,5.48,7.91,7.91,8.74,8.74,
Girl,0-2,62.80,5.06,5.06,5.50,5.50,7.94,7.94,8.77,8.77,
Girl,0-2,62.90,5.08,5.08,5.52,5.52,7.96,7.96,8.80,8.80,
